radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
195.906431,0.37,-10.352056,0.291,NA,NA,0,NA,NA,0,NA,NA,0,17.894,0.1,5,16.551,0.106,5,15.297,0.078,5,NA,NA,0,NA,NA,0
195.913522,0.373,-10.358693,0.303,14.82,0.027,5,15.926,0.053,5,NA,NA,0,15.358,0.034,5,14.328,0.016,5,13.956,0.042,5,13.469,0.182,2,NA,NA,0
195.922461,0.247,-10.378375,0.176,15.912,0.038,5,16.614,0.061,5,NA,NA,0,16.237,0.031,5,15.728,0.084,5,15.465,0.143,5,NA,NA,0,NA,NA,0
195.926978,0.219,-10.314228,0.318,14.183,0.015,5,14.886,0.039,5,NA,NA,0,14.505,0.025,5,14.054,0.026,5,13.893,0.012,5,13.724,0.201,1,NA,NA,0
195.92753,0.098,-10.423967,0.038,NA,NA,0,NA,NA,0,NA,NA,0,17.901,0.127,1,17.018,0.126,1,NA,NA,0,NA,NA,0,NA,NA,0
195.941023,0.235,-10.34823,0.162,15.878,0.04,5,16.873,0.078,5,NA,NA,0,16.328,0.065,5,15.597,0.056,5,15.331,0.069,5,NA,NA,0,NA,NA,0
195.941154,0.596,-10.400273,0.263,NA,NA,0,NA,NA,0,NA,NA,0,18.186,0.151,1,16.744,0.099,1,16.394,0.199,1,NA,NA,0,NA,NA,0
195.944579,0.23,-10.321691,0.189,14.877,0.031,4,15.845,0.033,4,NA,NA,0,15.337,0.019,5,14.558,0.03,5,14.27,0.043,5,NA,NA,0,NA,NA,0
195.949531,0.373,-10.3847,0.302,14.565,0.031,5,15.519,0.034,5,NA,NA,0,14.975,0.008,5,14.254,0.025,5,14.001,0.052,5,NA,NA,0,NA,NA,0
195.960615,0.368,-10.287343,0.527,NA,NA,0,NA,NA,0,NA,NA,0,17.895,0.159,2,17.342,0.09,2,NA,NA,0,NA,NA,0,NA,NA,0
195.965174,0.245,-10.283204,0.234,15.938,0.038,5,16.827,0.107,5,NA,NA,0,16.326,0.039,5,15.652,0.048,5,15.368,0.051,5,NA,NA,0,NA,NA,0
195.968109,0.5,-10.457176,0.374,NA,NA,0,NA,NA,0,NA,NA,0,17.855,0.127,3,17.094,0.239,3,16.799,0.268,1,NA,NA,0,NA,NA,0
195.969016,0.224,-10.400741,0.314,15.994,0.06,4,17.344,0.126,4,NA,NA,0,16.802,0.059,5,15.411,0.064,5,14.646,0.051,5,NA,NA,0,NA,NA,0
195.971341,0.363,-10.333488,0.348,17.008,0.062,4,17.784,0.182,4,NA,NA,0,17.405,0.075,5,16.907,0.081,5,NA,NA,0,NA,NA,0,NA,NA,0
195.972334,0.396,-10.285575,0.18,15.36,0.042,5,15.902,0.064,5,NA,NA,0,15.58,0.025,5,15.224,0.057,5,15.136,0.062,5,NA,NA,0,NA,NA,0
195.975138,0.151,-10.400688,0.449,14.592,0.015,5,15.375,0.035,5,NA,NA,0,14.976,0.04,5,14.34,0.035,5,14.169,0.07,5,13.836,0.219,1,NA,NA,0
195.975428,0.479,-10.319634,0.235,16.12,0.082,5,16.823,0.061,5,NA,NA,0,16.413,0.046,5,15.942,0.062,5,15.784,0.191,5,NA,NA,0,NA,NA,0
195.978651,0.255,-10.454929,0.155,15.829,0.054,5,16.453,0.096,5,NA,NA,0,16.068,0.055,5,15.67,0.067,5,15.567,0.126,5,NA,NA,0,NA,NA,0
195.979963,0.13,-10.230217,0.194,14.924,0.039,5,15.683,0.045,5,NA,NA,0,15.271,0.015,5,14.765,0.017,5,14.615,0.045,5,NA,NA,0,NA,NA,0
195.983955,0.365,-10.319167,0.325,14.13,0.02,5,15.508,0.047,5,NA,NA,0,14.847,0.019,5,13.552,0.035,5,12.965,0.055,5,12.577,0.012,3,NA,NA,0
195.98719,0.317,-10.286314,0.227,14.101,0.023,5,14.786,0.055,5,NA,NA,0,14.388,0.023,5,13.919,0.037,5,13.782,0.067,5,13.55,0.182,1,NA,NA,0
195.987525,0.219,-10.442327,0.248,14.814,0.026,5,15.716,0.055,5,NA,NA,0,15.264,0.035,5,14.541,0.053,5,14.334,0.057,5,NA,NA,0,NA,NA,0
195.992504,0.659,-10.398378,0.035,NA,NA,0,NA,NA,0,NA,NA,0,18.178,0.159,1,17.647,0.222,1,NA,NA,0,NA,NA,0,NA,NA,0
195.994003,0.24,-10.356274,0.568,NA,NA,0,NA,NA,0,NA,NA,0,18.042,0.048,2,17.207,0.011,2,NA,NA,0,NA,NA,0,NA,NA,0
195.997202,0.533,-10.474348,0.258,NA,NA,0,NA,NA,0,NA,NA,0,18.231,0.135,2,16.74,0.101,2,16.091,0.023,2,NA,NA,0,NA,NA,0
196.002425,1.226,-10.208269,0.707,NA,NA,0,NA,NA,0,NA,NA,0,18.082,0.072,2,17.413,0.069,2,NA,NA,0,NA,NA,0,NA,NA,0
196.005915,0.733,-10.484066,0.535,17.499,0.171,3,17.865,0.219,3,NA,NA,0,17.618,0.058,5,17.273,0.117,5,NA,NA,0,NA,NA,0,NA,NA,0
196.00754,0.335,-10.254564,0.145,16.176,0.108,5,16.62,0.036,5,NA,NA,0,16.342,0.038,5,16.022,0.046,5,15.904,0.097,5,NA,NA,0,NA,NA,0
196.012299,0.296,-10.340619,0.342,15.628,0.056,5,16.512,0.091,5,NA,NA,0,16.082,0.057,5,15.407,0.052,5,15.188,0.078,5,NA,NA,0,NA,NA,0
196.020339,0.262,-10.394065,0.166,14.273,0.026,5,14.872,0.028,5,NA,NA,0,14.511,0.012,5,14.177,0.033,5,14.056,0.048,5,NA,NA,0,NA,NA,0
196.024484,0.153,-10.423624,0.15,12.429,0.035,5,13.418,0.025,5,NA,NA,0,12.864,0.01,5,12.098,0.018,5,11.849,0.048,5,11.733,0.023,3,NA,NA,0
196.026226,0.302,-10.25563,0.183,15.599,0.053,5,16.326,0.078,5,NA,NA,0,15.923,0.027,5,15.422,0.042,5,15.243,0.054,5,NA,NA,0,NA,NA,0
196.032891,0.265,-10.287267,0.333,13.701,0.035,5,14.518,0.029,5,NA,NA,0,14.088,0.03,5,13.477,0.026,5,13.314,0.082,5,13.279,0.107,2,NA,NA,0
196.034273,0.821,-10.403282,0.297,NA,NA,0,NA,NA,0,NA,NA,0,17.751,0.237,2,17.313,0.138,2,NA,NA,0,NA,NA,0,NA,NA,0
196.036624,0.268,-10.253005,0.218,16.249,0.063,5,16.989,0.121,5,NA,NA,0,16.613,0.055,5,16.02,0.048,5,15.733,0.124,5,NA,NA,0,NA,NA,0
196.037569,0.222,-10.443249,0.179,15.323,0.038,5,16.257,0.055,5,NA,NA,0,15.771,0.029,5,15.058,0.044,5,14.858,0.029,5,NA,NA,0,NA,NA,0
196.041451,0.186,-10.486178,0.123,15.357,0.021,5,16.751,0.102,5,NA,NA,0,16.051,0.034,5,14.794,0.025,5,14.262,0.025,5,NA,NA,0,NA,NA,0
196.047102,0.261,-10.318227,0.134,15.229,0.026,5,16.187,0.055,5,NA,NA,0,15.644,0.045,5,14.994,0.029,5,14.815,0.078,5,NA,NA,0,NA,NA,0
196.048412,0.315,-10.394205,0.247,16.19,0.067,5,16.898,0.043,5,NA,NA,0,16.59,0.05,5,16.102,0.061,5,15.975,0.092,5,NA,NA,0,NA,NA,0
196.053775,0.374,-10.236218,0.352,NA,NA,0,NA,NA,0,NA,NA,0,18.263,0.093,3,16.903,0.136,3,16.149,0.045,2,NA,NA,0,NA,NA,0
196.059793,0.631,-10.339628,1.132,13.916,0.015,1,15.088,0.023,1,NA,NA,0,14.4,0.022,3,13.535,0.032,2,13.138,0.049,2,12.784,0.082,2,NA,NA,0
196.061052,0.253,-10.437848,0.331,17.061,0.165,4,17.768,0.097,4,NA,NA,0,17.437,0.068,5,16.851,0.164,5,NA,NA,0,NA,NA,0,NA,NA,0
196.063062,0.523,-10.237975,0.434,16.991,0.106,3,17.477,0.097,3,NA,NA,0,17.455,0.077,5,17.034,0.17,5,16.693,0.378,2,NA,NA,0,NA,NA,0
196.068883,0.237,-10.374136,0.07,NA,NA,0,NA,NA,0,NA,NA,0,18.102,0.17,1,17.336,0.175,1,16.673,0.25,1,NA,NA,0,NA,NA,0
196.070193,0.218,-10.164657,0.206,14.982,0.01,5,15.809,0.08,5,NA,NA,0,15.357,0.031,5,14.739,0.029,5,14.587,0.076,5,NA,NA,0,NA,NA,0
196.071414,0.502,-10.489892,0.316,16.637,0.112,5,17.385,0.108,5,NA,NA,0,17.056,0.111,5,16.365,0.091,5,16.197,0.086,2,NA,NA,0,NA,NA,0
196.075776,0.277,-10.491847,0.312,15.936,0.103,5,16.71,0.115,5,NA,NA,0,16.254,0.037,5,15.686,0.02,5,15.489,0.132,5,NA,NA,0,NA,NA,0
196.077515,0.277,-10.342606,0.23,15.913,0.102,5,16.791,0.074,5,NA,NA,0,16.257,0.058,2,15.666,0.031,2,15.579,0.005,2,NA,NA,0,NA,NA,0
196.080114,0.251,-10.474338,0.203,14.56,0.014,5,15.343,0.021,5,NA,NA,0,14.929,0.03,5,14.394,0.009,5,14.23,0.054,5,NA,NA,0,NA,NA,0
196.081558,0.34,-10.419457,0.276,15.783,0.036,5,16.881,0.09,5,NA,NA,0,16.328,0.06,5,15.356,0.056,5,15.046,0.08,5,NA,NA,0,NA,NA,0
196.081648,0.308,-10.340214,0.302,16.791,0.166,5,17.636,0.228,5,NA,NA,0,17.134,0.039,2,16.358,0.011,2,16.42,0.089,2,NA,NA,0,NA,NA,0
196.082171,0.329,-10.423226,0.236,15.275,0.05,5,16.447,0.058,5,NA,NA,0,15.894,0.052,5,14.795,0.039,5,14.436,0.05,5,NA,NA,0,NA,NA,0
196.082961,0.189,-10.295836,0.136,15.522,0.027,5,16.844,0.057,5,NA,NA,0,16.197,0.051,5,15.073,0.03,5,14.62,0.033,5,NA,NA,0,NA,NA,0
196.09199,0.193,-10.341737,0.229,15.973,0.09,5,16.76,0.085,5,NA,NA,0,16.359,0.068,5,15.729,0.042,5,15.532,0.067,5,NA,NA,0,NA,NA,0
196.093298,0.685,-10.465554,0.489,17.058,0.026,2,17.746,0.049,2,NA,NA,0,17.423,0.118,5,16.926,0.144,5,16.428,0.071,2,NA,NA,0,NA,NA,0
196.094203,0.194,-10.370799,0.144,15.441,0.024,5,16.42,0.066,5,NA,NA,0,15.914,0.054,5,15.128,0.041,5,14.85,0.057,5,NA,NA,0,NA,NA,0
196.095674,0.424,-10.201118,0.222,16.018,0.048,5,16.468,0.084,5,NA,NA,0,16.184,0.049,5,15.98,0.07,5,16.002,0.204,5,NA,NA,0,NA,NA,0
196.098452,0.267,-10.494504,0.143,15.686,0.031,5,16.521,0.068,5,NA,NA,0,16.048,0.023,5,15.414,0.047,5,15.141,0.075,5,NA,NA,0,NA,NA,0
196.100164,0.652,-10.180899,0.598,NA,NA,0,NA,NA,0,NA,NA,0,17.756,0.137,4,16.977,0.183,4,16.671,0.13,2,NA,NA,0,NA,NA,0
196.100986,0.141,-10.439973,0.098,11.841,0.013,5,12.378,0.022,5,NA,NA,0,12.069,0.016,5,11.721,0.022,5,11.644,0.051,5,11.573,0.026,3,NA,NA,0
196.101813,0.615,-10.536232,0.327,17.136,0.133,1,18.468,0.287,1,NA,NA,0,17.858,0.164,3,17.33,0.183,3,NA,NA,0,NA,NA,0,NA,NA,0
196.106356,0.724,-10.303092,0.395,NA,NA,0,NA,NA,0,NA,NA,0,17.847,0.166,5,16.668,0.094,5,16.348,0.199,4,NA,NA,0,NA,NA,0
196.106468,0.407,-10.471837,0.273,16.54,0.063,5,17.524,0.071,5,NA,NA,0,17.059,0.055,5,16.284,0.079,5,15.978,0.123,5,NA,NA,0,NA,NA,0
196.11156,0.219,-10.49663,0.164,12.788,0.015,5,13.674,0.016,5,NA,NA,0,13.185,0.003,5,12.531,0.024,5,12.34,0.029,5,12.216,0.076,3,NA,NA,0
196.115422,0.183,-10.392991,0.305,14.576,0.022,5,15.188,0.037,5,NA,NA,0,14.834,0.008,5,14.448,0.036,5,14.353,0.059,5,NA,NA,0,NA,NA,0
196.116194,0.305,-10.173866,0.196,15.695,0.056,5,16.324,0.087,5,NA,NA,0,16.001,0.052,5,15.541,0.059,5,15.416,0.094,5,NA,NA,0,NA,NA,0
196.121355,0.765,-10.419944,0.307,17.446,0.172,1,18.355,0.258,1,NA,NA,0,17.724,0.011,2,17.123,0.011,2,NA,NA,0,NA,NA,0,NA,NA,0
196.124561,0.321,-10.498901,0.173,16.121,0.04,5,17.584,0.121,5,NA,NA,0,16.901,0.036,5,15.484,0.057,5,14.718,0.113,5,NA,NA,0,NA,NA,0
196.133356,0.351,-10.512347,0.258,16.473,0.073,5,17.421,0.167,5,NA,NA,0,16.952,0.049,5,16.028,0.112,5,15.681,0.067,5,NA,NA,0,NA,NA,0
196.137951,0.518,-10.348025,0.371,17.149,0.115,2,17.712,0.222,2,NA,NA,0,17.606,0.114,4,17.059,0.062,3,16.547,0.255,1,NA,NA,0,NA,NA,0
196.139402,0.223,-10.265101,0.303,17.373,0.165,1,18.212,0.247,1,NA,NA,0,17.757,0.032,3,17.248,0.154,3,NA,NA,0,NA,NA,0,NA,NA,0
196.141073,0.394,-10.207683,0.278,17.536,0.069,2,18.242,0.078,2,NA,NA,0,17.647,0.038,3,17.221,0.052,3,NA,NA,0,NA,NA,0,NA,NA,0
196.141916,0.7,-10.271126,0.35,NA,NA,0,NA,NA,0,NA,NA,0,18.125,0.164,3,17.055,0.178,3,16.369,0.187,3,NA,NA,0,NA,NA,0
196.145329,0.786,-10.231931,0.343,NA,NA,0,NA,NA,0,NA,NA,0,18.149,0.01,2,17.056,0.096,2,16.576,0.168,2,NA,NA,0,NA,NA,0
196.147417,0.754,-10.196912,0.43,16.918,0.142,5,17.675,0.175,5,NA,NA,0,17.233,0.072,5,16.651,0.055,5,16.343,0.148,3,NA,NA,0,NA,NA,0
196.14793,0.304,-10.38869,0.232,15.953,0.044,5,16.653,0.101,5,NA,NA,0,16.266,0.022,5,15.861,0.045,5,15.703,0.172,5,NA,NA,0,NA,NA,0
196.14901,0.351,-10.17791,0.188,15.983,0.096,5,17.018,0.153,5,NA,NA,0,16.458,0.039,5,15.7,0.038,5,15.32,0.075,5,NA,NA,0,NA,NA,0
196.153851,0.15,-10.250607,0.16,15.444,0.044,5,16.142,0.047,5,NA,NA,0,15.747,0.035,5,15.294,0.052,5,15.161,0.108,5,NA,NA,0,NA,NA,0
196.154625,0.265,-10.463377,0.237,16.115,0.074,5,16.775,0.053,5,NA,NA,0,16.44,0.033,5,16.003,0.041,5,15.718,0.127,5,NA,NA,0,NA,NA,0
196.154751,0.435,-10.458465,0.382,16.619,0.097,5,17.357,0.171,5,NA,NA,0,16.935,0.027,5,16.487,0.099,5,16.207,0.057,4,NA,NA,0,NA,NA,0
196.162629,0.26,-10.265068,0.216,16.014,0.038,5,16.517,0.047,5,NA,NA,0,16.26,0.014,5,15.915,0.066,5,15.723,0.199,5,NA,NA,0,NA,NA,0
196.164711,0.472,-10.211953,0.358,17.166,0.287,5,17.828,0.114,5,NA,NA,0,17.574,0.058,5,17.026,0.065,5,16.566,0.28,1,NA,NA,0,NA,NA,0
196.164857,0.16,-10.338373,0.196,15.51,0.064,5,16.338,0.042,5,NA,NA,0,15.866,0.007,5,15.341,0.069,5,15.161,0.048,5,NA,NA,0,NA,NA,0
196.167564,0.373,-10.385188,0.176,15.967,0.064,5,17.166,0.079,5,NA,NA,0,16.571,0.025,5,15.518,0.037,5,15.13,0.095,5,NA,NA,0,NA,NA,0
196.169029,0.572,-10.269053,0.445,17.219,0.144,1,17.895,0.177,1,NA,NA,0,17.663,0.082,3,17.133,0.082,3,NA,NA,0,NA,NA,0,NA,NA,0
196.173186,0.139,-10.371864,0.089,11.307,0.019,5,11.932,0.019,5,NA,NA,0,11.656,0.109,5,11.174,0.023,5,11.054,0.067,6,10.987,0.058,3,NA,NA,0
196.176504,0.41,-10.229093,0.36,16.886,0.102,5,17.598,0.142,5,NA,NA,0,17.198,0.061,5,16.68,0.075,5,16.489,0.281,2,NA,NA,0,NA,NA,0
196.176902,0.353,-10.427758,0.307,14.15,0.022,5,14.858,0.028,5,NA,NA,0,14.451,0.014,5,13.996,0.038,5,13.88,0.048,5,13.675,0.186,1,NA,NA,0
196.177607,0.467,-10.420659,0.229,16.549,0.123,5,17.362,0.122,5,NA,NA,0,16.907,0.046,5,16.473,0.055,5,16.368,0.209,3,NA,NA,0,NA,NA,0
196.180487,0.163,-10.220526,0.09,11.587,0.038,5,12.628,0.019,5,NA,NA,0,12.075,0.033,5,11.266,0.021,5,10.976,0.067,8,10.785,0.047,3,NA,NA,0
196.184323,0.549,-10.506119,0.424,17.049,0.059,2,18.318,0.164,2,NA,NA,0,17.492,0.06,5,16.788,0.109,5,16.618,0.272,1,NA,NA,0,NA,NA,0
196.18612,0.429,-10.314409,0.503,17.398,0.015,2,17.917,0.194,2,NA,NA,0,17.783,0.111,3,17.64,0.148,3,NA,NA,0,NA,NA,0,NA,NA,0
196.186426,0.103,-10.401297,0.464,17.661,0.202,1,17.843,0.172,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
196.186535,0.278,-10.242163,0.375,16.207,0.073,5,16.778,0.066,5,NA,NA,0,16.419,0.03,5,15.988,0.048,5,16.001,0.106,5,NA,NA,0,NA,NA,0
196.190962,0.551,-10.298615,0.353,17.047,0.074,5,17.798,0.173,5,NA,NA,0,17.299,0.07,5,16.834,0.184,5,16.369,0.2,2,NA,NA,0,NA,NA,0
196.198193,0.494,-10.38944,0.349,NA,NA,0,NA,NA,0,NA,NA,0,17.864,0.065,3,17.17,0.102,3,16.782,0.26,1,NA,NA,0,NA,NA,0
196.202664,0.584,-10.404845,0.531,NA,NA,0,NA,NA,0,NA,NA,0,18.074,0.223,3,17.316,0.034,3,NA,NA,0,NA,NA,0,NA,NA,0
196.208407,0.163,-10.477493,0.152,15.263,0.059,5,15.801,0.05,5,NA,NA,0,15.502,0.032,5,15.152,0.033,5,15.09,0.096,5,NA,NA,0,NA,NA,0
196.212485,0.167,-10.306396,0.13,15.411,0.05,5,16.143,0.048,5,NA,NA,0,15.74,0.024,5,15.25,0.065,5,15.108,0.094,5,NA,NA,0,NA,NA,0
196.212569,0.163,-10.463312,0.185,15.21,0.025,5,15.905,0.038,5,NA,NA,0,15.527,0.009,5,15.014,0.033,5,14.915,0.049,5,NA,NA,0,NA,NA,0
196.220709,0.645,-10.282148,0.367,16.611,0.141,5,17.556,0.04,5,NA,NA,0,17.074,0.086,5,16.328,0.066,5,16.012,0.177,5,NA,NA,0,NA,NA,0
196.222386,0.119,-10.262631,0.138,15.289,0.03,5,16.063,0.076,5,NA,NA,0,15.627,0.034,5,15.127,0.052,5,14.981,0.089,5,NA,NA,0,NA,NA,0
196.224184,0.45,-10.239304,0.241,14.024,0.028,5,14.746,0.031,5,NA,NA,0,14.333,0.012,5,13.816,0.033,5,13.664,0.09,5,13.527,0.104,2,NA,NA,0
196.240914,0.141,-10.304838,0.15,10.967,0.02,8,11.688,0.03,5,NA,NA,0,11.344,0.086,5,10.769,0.034,8,10.629,0.068,8,10.519,0.057,3,NA,NA,0
196.241095,0.253,-10.435061,0.268,16.118,0.047,4,17.585,0.131,4,NA,NA,0,16.985,0.073,5,15.561,0.096,5,14.762,0.142,5,NA,NA,0,NA,NA,0
196.241162,0.127,-10.429899,0.145,12.641,0.022,5,13.26,0.019,5,NA,NA,0,12.905,0.012,5,12.469,0.023,5,12.35,0.052,5,12.304,0.109,3,NA,NA,0
196.242471,0.227,-10.299532,0.155,12.525,0.031,5,13.507,0.017,5,NA,NA,0,12.98,0.016,5,12.154,0.033,5,11.919,0.072,5,11.767,0.04,3,NA,NA,0
196.245196,0.299,-10.258162,0.392,NA,NA,0,NA,NA,0,NA,NA,0,17.677,0.16,3,16.877,0.14,3,16.47,0.23,1,NA,NA,0,NA,NA,0
196.245457,0.279,-10.409136,0.633,17.62,0.206,1,17.969,0.199,1,NA,NA,0,17.859,0.127,1,17.321,0.162,1,NA,NA,0,NA,NA,0,NA,NA,0
196.248981,0.456,-10.284965,0.233,16.165,0.045,5,16.645,0.168,5,NA,NA,0,16.328,0.025,5,16.017,0.097,5,15.949,0.038,5,NA,NA,0,NA,NA,0
196.249861,0.225,-10.449558,0.226,14.654,0.029,5,15.272,0.029,5,NA,NA,0,14.908,0.014,5,14.539,0.033,5,14.363,0.06,5,NA,NA,0,NA,NA,0
196.253225,0.535,-10.386146,0.324,16.661,0.109,5,17.397,0.048,5,NA,NA,0,17.017,0.042,5,16.514,0.075,5,16.352,0.024,2,NA,NA,0,NA,NA,0
196.253735,0.285,-10.325798,0.203,16.126,0.06,5,17.089,0.078,5,NA,NA,0,16.553,0.041,5,15.954,0.065,5,15.757,0.089,5,NA,NA,0,NA,NA,0
196.253936,0.403,-10.416984,0.409,14.451,0.048,5,15.302,0.046,5,NA,NA,0,14.835,0.006,5,14.179,0.03,5,13.984,0.09,5,NA,NA,0,NA,NA,0
196.261245,0.286,-10.395431,0.347,14.886,0.029,5,15.667,0.019,5,NA,NA,0,15.227,0.044,5,14.691,0.017,5,14.461,0.072,5,NA,NA,0,NA,NA,0
196.261267,0.347,-10.30534,0.267,14.966,0.046,5,15.807,0.041,5,NA,NA,0,15.348,0.04,5,14.707,0.044,5,14.502,0.089,5,NA,NA,0,NA,NA,0
196.268301,0.352,-10.403598,0.235,16.196,0.054,5,16.883,0.109,5,NA,NA,0,16.521,0.015,5,16.006,0.064,5,15.871,0.112,5,NA,NA,0,NA,NA,0
196.269322,0.654,-10.31146,0.349,16.965,0.128,5,17.618,0.123,5,NA,NA,0,17.401,0.104,5,16.909,0.096,5,NA,NA,0,NA,NA,0,NA,NA,0
196.276746,0.453,-10.310547,0.2,13.972,0.024,5,14.708,0.028,5,NA,NA,0,14.292,0.01,5,13.782,0.016,5,13.637,0.076,5,13.416,0.119,2,NA,NA,0
